,# year,month,day,cycle,trend,date,value
196,2011,7,16,389.17,390.85,2011-07-16 12:00:00,389.17
197,2011,7,17,389.08,390.85,2011-07-17 12:00:00,389.08
198,2011,7,18,389.0,390.86,2011-07-18 12:00:00,389.0
199,2011,7,19,388.92,390.86,2011-07-19 12:00:00,388.92
200,2011,7,20,388.83,390.87,2011-07-20 12:00:00,388.83
201,2011,7,21,388.75,390.87,2011-07-21 12:00:00,388.75
202,2011,7,22,388.67,390.88,2011-07-22 12:00:00,388.67
203,2011,7,23,388.6,390.88,2011-07-23 12:00:00,388.6
204,2011,7,24,388.52,390.89,2011-07-24 12:00:00,388.52
205,2011,7,25,388.44,390.89,2011-07-25 12:00:00,388.44
206,2011,7,26,388.37,390.9,2011-07-26 12:00:00,388.37
207,2011,7,27,388.3,390.91,2011-07-27 12:00:00,388.3
208,2011,7,28,388.23,390.91,2011-07-28 12:00:00,388.23
209,2011,7,29,388.17,390.92,2011-07-29 12:00:00,388.17
210,2011,7,30,388.1,390.92,2011-07-30 12:00:00,388.1
211,2011,7,31,388.04,390.93,2011-07-31 12:00:00,388.04
212,2011,8,1,387.98,390.93,2011-08-01 12:00:00,387.98
213,2011,8,2,387.92,390.94,2011-08-02 12:00:00,387.92
214,2011,8,3,387.87,390.94,2011-08-03 12:00:00,387.87
215,2011,8,4,387.82,390.95,2011-08-04 12:00:00,387.82
216,2011,8,5,387.77,390.95,2011-08-05 12:00:00,387.77
217,2011,8,6,387.72,390.96,2011-08-06 12:00:00,387.72
218,2011,8,7,387.68,390.96,2011-08-07 12:00:00,387.68
219,2011,8,8,387.64,390.97,2011-08-08 12:00:00,387.64
220,2011,8,9,387.6,390.97,2011-08-09 12:00:00,387.6
221,2011,8,10,387.57,390.98,2011-08-10 12:00:00,387.57
222,2011,8,11,387.53,390.98,2011-08-11 12:00:00,387.53
223,2011,8,12,387.5,390.99,2011-08-12 12:00:00,387.5
224,2011,8,13,387.48,390.99,2011-08-13 12:00:00,387.48
225,2011,8,14,387.45,391.0,2011-08-14 12:00:00,387.45
226,2011,8,15,387.43,391.0,2011-08-15 12:00:00,387.43
227,2011,8,16,387.42,391.01,2011-08-16 12:00:00,387.42
228,2011,8,17,387.4,391.01,2011-08-17 12:00:00,387.4
229,2011,8,18,387.39,391.02,2011-08-18 12:00:00,387.39
230,2011,8,19,387.38,391.02,2011-08-19 12:00:00,387.38
231,2011,8,20,387.37,391.03,2011-08-20 12:00:00,387.37
232,2011,8,21,387.37,391.03,2011-08-21 12:00:00,387.37
233,2011,8,22,387.37,391.04,2011-08-22 12:00:00,387.37
234,2011,8,23,387.37,391.04,2011-08-23 12:00:00,387.37
235,2011,8,24,387.37,391.05,2011-08-24 12:00:00,387.37
236,2011,8,25,387.38,391.05,2011-08-25 12:00:00,387.38
237,2011,8,26,387.38,391.05,2011-08-26 12:00:00,387.38
238,2011,8,27,387.39,391.06,2011-08-27 12:00:00,387.39
239,2011,8,28,387.41,391.06,2011-08-28 12:00:00,387.41
240,2011,8,29,387.42,391.07,2011-08-29 12:00:00,387.42
241,2011,8,30,387.44,391.07,2011-08-30 12:00:00,387.44
242,2011,8,31,387.46,391.08,2011-08-31 12:00:00,387.46
243,2011,9,1,387.48,391.08,2011-09-01 12:00:00,387.48
244,2011,9,2,387.5,391.09,2011-09-02 12:00:00,387.5
245,2011,9,3,387.52,391.09,2011-09-03 12:00:00,387.52
246,2011,9,4,387.55,391.1,2011-09-04 12:00:00,387.55
247,2011,9,5,387.58,391.1,2011-09-05 12:00:00,387.58
248,2011,9,6,387.6,391.11,2011-09-06 12:00:00,387.6
249,2011,9,7,387.63,391.11,2011-09-07 12:00:00,387.63
250,2011,9,8,387.67,391.12,2011-09-08 12:00:00,387.67
251,2011,9,9,387.7,391.12,2011-09-09 12:00:00,387.7
252,2011,9,10,387.73,391.13,2011-09-10 12:00:00,387.73
253,2011,9,11,387.77,391.13,2011-09-11 12:00:00,387.77
254,2011,9,12,387.8,391.14,2011-09-12 12:00:00,387.8
255,2011,9,13,387.84,391.14,2011-09-13 12:00:00,387.84
256,2011,9,14,387.88,391.15,2011-09-14 12:00:00,387.88
257,2011,9,15,387.92,391.15,2011-09-15 12:00:00,387.92
258,2011,9,16,387.96,391.16,2011-09-16 12:00:00,387.96
259,2011,9,17,388.0,391.16,2011-09-17 12:00:00,388.0
260,2011,9,18,388.04,391.17,2011-09-18 12:00:00,388.04
261,2011,9,19,388.08,391.17,2011-09-19 12:00:00,388.08
262,2011,9,20,388.13,391.18,2011-09-20 12:00:00,388.13
263,2011,9,21,388.17,391.18,2011-09-21 12:00:00,388.17
264,2011,9,22,388.22,391.19,2011-09-22 12:00:00,388.22
265,2011,9,23,388.26,391.19,2011-09-23 12:00:00,388.26
266,2011,9,24,388.31,391.2,2011-09-24 12:00:00,388.31
267,2011,9,25,388.35,391.2,2011-09-25 12:00:00,388.35
268,2011,9,26,388.4,391.21,2011-09-26 12:00:00,388.4
269,2011,9,27,388.45,391.21,2011-09-27 12:00:00,388.45
270,2011,9,28,388.5,391.22,2011-09-28 12:00:00,388.5
271,2011,9,29,388.55,391.22,2011-09-29 12:00:00,388.55
272,2011,9,30,388.59,391.22,2011-09-30 12:00:00,388.59
273,2011,10,1,388.64,391.23,2011-10-01 12:00:00,388.64
274,2011,10,2,388.7,391.23,2011-10-02 12:00:00,388.7
275,2011,10,3,388.75,391.24,2011-10-03 12:00:00,388.75
276,2011,10,4,388.8,391.24,2011-10-04 12:00:00,388.8
277,2011,10,5,388.85,391.25,2011-10-05 12:00:00,388.85
278,2011,10,6,388.9,391.25,2011-10-06 12:00:00,388.9
279,2011,10,7,388.96,391.26,2011-10-07 12:00:00,388.96
280,2011,10,8,389.01,391.26,2011-10-08 12:00:00,389.01
281,2011,10,9,389.07,391.27,2011-10-09 12:00:00,389.07
282,2011,10,10,389.12,391.27,2011-10-10 12:00:00,389.12
283,2011,10,11,389.18,391.28,2011-10-11 12:00:00,389.18
284,2011,10,12,389.23,391.28,2011-10-12 12:00:00,389.23
285,2011,10,13,389.29,391.29,2011-10-13 12:00:00,389.29
286,2011,10,14,389.35,391.29,2011-10-14 12:00:00,389.35
287,2011,10,15,389.41,391.3,2011-10-15 12:00:00,389.41
288,2011,10,16,389.47,391.3,2011-10-16 12:00:00,389.47
289,2011,10,17,389.53,391.31,2011-10-17 12:00:00,389.53
290,2011,10,18,389.59,391.31,2011-10-18 12:00:00,389.59
291,2011,10,19,389.65,391.32,2011-10-19 12:00:00,389.65
292,2011,10,20,389.71,391.32,2011-10-20 12:00:00,389.71
293,2011,10,21,389.77,391.33,2011-10-21 12:00:00,389.77
294,2011,10,22,389.83,391.33,2011-10-22 12:00:00,389.83
295,2011,10,23,389.89,391.34,2011-10-23 12:00:00,389.89
296,2011,10,24,389.96,391.34,2011-10-24 12:00:00,389.96
297,2011,10,25,390.02,391.34,2011-10-25 12:00:00,390.02
298,2011,10,26,390.08,391.35,2011-10-26 12:00:00,390.08
299,2011,10,27,390.15,391.35,2011-10-27 12:00:00,390.15
300,2011,10,28,390.21,391.36,2011-10-28 12:00:00,390.21
301,2011,10,29,390.28,391.36,2011-10-29 12:00:00,390.28
302,2011,10,30,390.34,391.37,2011-10-30 12:00:00,390.34
303,2011,10,31,390.41,391.37,2011-10-31 12:00:00,390.41
304,2011,11,1,390.47,391.38,2011-11-01 12:00:00,390.47
305,2011,11,2,390.54,391.38,2011-11-02 12:00:00,390.54
306,2011,11,3,390.6,391.39,2011-11-03 12:00:00,390.6
307,2011,11,4,390.67,391.39,2011-11-04 12:00:00,390.67
308,2011,11,5,390.73,391.4,2011-11-05 12:00:00,390.73
309,2011,11,6,390.79,391.4,2011-11-06 12:00:00,390.79
310,2011,11,7,390.86,391.41,2011-11-07 12:00:00,390.86
311,2011,11,8,390.92,391.41,2011-11-08 12:00:00,390.92
312,2011,11,9,390.99,391.42,2011-11-09 12:00:00,390.99
313,2011,11,10,391.05,391.42,2011-11-10 12:00:00,391.05
314,2011,11,11,391.11,391.43,2011-11-11 12:00:00,391.11
315,2011,11,12,391.17,391.43,2011-11-12 12:00:00,391.17
316,2011,11,13,391.23,391.44,2011-11-13 12:00:00,391.23
317,2011,11,14,391.29,391.44,2011-11-14 12:00:00,391.29
318,2011,11,15,391.35,391.44,2011-11-15 12:00:00,391.35
319,2011,11,16,391.41,391.45,2011-11-16 12:00:00,391.41
320,2011,11,17,391.47,391.45,2011-11-17 12:00:00,391.47
321,2011,11,18,391.53,391.46,2011-11-18 12:00:00,391.53
322,2011,11,19,391.59,391.46,2011-11-19 12:00:00,391.59
323,2011,11,20,391.64,391.47,2011-11-20 12:00:00,391.64
324,2011,11,21,391.7,391.47,2011-11-21 12:00:00,391.7
325,2011,11,22,391.75,391.48,2011-11-22 12:00:00,391.75
326,2011,11,23,391.81,391.48,2011-11-23 12:00:00,391.81
327,2011,11,24,391.86,391.49,2011-11-24 12:00:00,391.86
328,2011,11,25,391.91,391.49,2011-11-25 12:00:00,391.91
329,2011,11,26,391.96,391.5,2011-11-26 12:00:00,391.96
330,2011,11,27,392.01,391.5,2011-11-27 12:00:00,392.01
331,2011,11,28,392.05,391.51,2011-11-28 12:00:00,392.05
332,2011,11,29,392.1,391.51,2011-11-29 12:00:00,392.1
333,2011,11,30,392.15,391.52,2011-11-30 12:00:00,392.15
334,2011,12,1,392.19,391.52,2011-12-01 12:00:00,392.19
335,2011,12,2,392.23,391.53,2011-12-02 12:00:00,392.23
336,2011,12,3,392.28,391.53,2011-12-03 12:00:00,392.28
337,2011,12,4,392.32,391.54,2011-12-04 12:00:00,392.32
338,2011,12,5,392.36,391.54,2011-12-05 12:00:00,392.36
339,2011,12,6,392.39,391.55,2011-12-06 12:00:00,392.39
340,2011,12,7,392.43,391.55,2011-12-07 12:00:00,392.43
341,2011,12,8,392.47,391.55,2011-12-08 12:00:00,392.47
342,2011,12,9,392.5,391.56,2011-12-09 12:00:00,392.5
343,2011,12,10,392.54,391.56,2011-12-10 12:00:00,392.54
344,2011,12,11,392.57,391.57,2011-12-11 12:00:00,392.57
345,2011,12,12,392.6,391.57,2011-12-12 12:00:00,392.6
346,2011,12,13,392.64,391.58,2011-12-13 12:00:00,392.64
347,2011,12,14,392.67,391.58,2011-12-14 12:00:00,392.67
348,2011,12,15,392.7,391.59,2011-12-15 12:00:00,392.7
349,2011,12,16,392.72,391.59,2011-12-16 12:00:00,392.72
350,2011,12,17,392.75,391.6,2011-12-17 12:00:00,392.75
351,2011,12,18,392.78,391.6,2011-12-18 12:00:00,392.78
352,2011,12,19,392.8,391.61,2011-12-19 12:00:00,392.8
353,2011,12,20,392.83,391.61,2011-12-20 12:00:00,392.83
354,2011,12,21,392.85,391.62,2011-12-21 12:00:00,392.85
355,2011,12,22,392.88,391.62,2011-12-22 12:00:00,392.88
356,2011,12,23,392.9,391.63,2011-12-23 12:00:00,392.9
357,2011,12,24,392.92,391.63,2011-12-24 12:00:00,392.92
358,2011,12,25,392.95,391.64,2011-12-25 12:00:00,392.95
359,2011,12,26,392.97,391.64,2011-12-26 12:00:00,392.97
360,2011,12,27,392.99,391.65,2011-12-27 12:00:00,392.99
361,2011,12,28,393.01,391.65,2011-12-28 12:00:00,393.01
362,2011,12,29,393.03,391.66,2011-12-29 12:00:00,393.03
363,2011,12,30,393.05,391.66,2011-12-30 12:00:00,393.05
364,2011,12,31,393.06,391.67,2011-12-31 12:00:00,393.06
365,2012,1,1,393.08,391.67,2012-01-01 12:00:00,393.08
366,2012,1,2,393.1,391.68,2012-01-02 12:00:00,393.1
367,2012,1,3,393.12,391.68,2012-01-03 12:00:00,393.12
368,2012,1,4,393.13,391.69,2012-01-04 12:00:00,393.13
369,2012,1,5,393.15,391.69,2012-01-05 12:00:00,393.15
370,2012,1,6,393.16,391.7,2012-01-06 12:00:00,393.16
371,2012,1,7,393.18,391.7,2012-01-07 12:00:00,393.18
372,2012,1,8,393.19,391.71,2012-01-08 12:00:00,393.19
373,2012,1,9,393.21,391.71,2012-01-09 12:00:00,393.21
374,2012,1,10,393.22,391.72,2012-01-10 12:00:00,393.22
375,2012,1,11,393.23,391.72,2012-01-11 12:00:00,393.23
376,2012,1,12,393.25,391.73,2012-01-12 12:00:00,393.25
377,2012,1,13,393.26,391.73,2012-01-13 12:00:00,393.26
378,2012,1,14,393.27,391.74,2012-01-14 12:00:00,393.27
379,2012,1,15,393.28,391.74,2012-01-15 12:00:00,393.28
380,2012,1,16,393.29,391.75,2012-01-16 12:00:00,393.29
381,2012,1,17,393.3,391.75,2012-01-17 12:00:00,393.3
382,2012,1,18,393.31,391.76,2012-01-18 12:00:00,393.31
383,2012,1,19,393.32,391.76,2012-01-19 12:00:00,393.32
384,2012,1,20,393.33,391.77,2012-01-20 12:00:00,393.33
385,2012,1,21,393.34,391.77,2012-01-21 12:00:00,393.34
386,2012,1,22,393.35,391.78,2012-01-22 12:00:00,393.35
387,2012,1,23,393.36,391.78,2012-01-23 12:00:00,393.36
388,2012,1,24,393.36,391.79,2012-01-24 12:00:00,393.36
389,2012,1,25,393.37,391.79,2012-01-25 12:00:00,393.37
390,2012,1,26,393.38,391.8,2012-01-26 12:00:00,393.38
391,2012,1,27,393.38,391.8,2012-01-27 12:00:00,393.38
392,2012,1,28,393.39,391.81,2012-01-28 12:00:00,393.39
393,2012,1,29,393.39,391.81,2012-01-29 12:00:00,393.39
394,2012,1,30,393.4,391.82,2012-01-30 12:00:00,393.4
395,2012,1,31,393.4,391.82,2012-01-31 12:00:00,393.4
396,2012,2,1,393.41,391.83,2012-02-01 12:00:00,393.41
397,2012,2,2,393.41,391.83,2012-02-02 12:00:00,393.41
398,2012,2,3,393.42,391.84,2012-02-03 12:00:00,393.42
399,2012,2,4,393.42,391.84,2012-02-04 12:00:00,393.42
400,2012,2,5,393.42,391.85,2012-02-05 12:00:00,393.42
401,2012,2,6,393.43,391.85,2012-02-06 12:00:00,393.43
402,2012,2,7,393.43,391.86,2012-02-07 12:00:00,393.43
403,2012,2,8,393.43,391.86,2012-02-08 12:00:00,393.43
404,2012,2,9,393.43,391.87,2012-02-09 12:00:00,393.43
405,2012,2,10,393.43,391.87,2012-02-10 12:00:00,393.43
406,2012,2,11,393.44,391.88,2012-02-11 12:00:00,393.44
407,2012,2,12,393.44,391.88,2012-02-12 12:00:00,393.44
408,2012,2,13,393.44,391.89,2012-02-13 12:00:00,393.44
409,2012,2,14,393.44,391.89,2012-02-14 12:00:00,393.44
